URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/Payload-version-vs,2.0.0,active,,PayloadVersionVS,Payload Version Identifier Values,"Payload Version Identifier Values","StructureDefinition/VRM-StatusParameters,StructureDefinition/VRM-VoidParameters,StructureDefinition/VRM-AliasParameters,StructureDefinition/VRM-MessageParameters","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-AcknowledgementHeaderURI-vs,2.0.0,active,,AcknowledgementURIVS,Acknowledgement MessageHeader URI Values,"Acknowledgement MessageHeader URI Values","StructureDefinition/VRM-AcknowledgementHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-CauseOfDeathCodingHeaderURI-vs,2.0.0,active,,CauseOfDeathCodingURIVS,Cause of Death Coding MessageHeader URI Values,"Cause of Death Coding MessageHeader URI Values","StructureDefinition/VRM-CauseOfDeathCodingHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-CauseOfDeathCodingUpdateHeaderURI-vs,2.0.0,active,,CauseOfDeathCodingUpdateURIVS,Cause of Death Coding Update MessageHeader URI Values,"Cause of Death Coding Update MessageHeader URI Values","StructureDefinition/VRM-CauseOfDeathCodingUpdateHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-DemographicsCodingHeaderURI-vs,2.0.0,active,,DemographicsCodingHeaderURIVS,Demographics Coding  MessageHeader URI Values,"Demographics Coding  MessageHeader URI Values","StructureDefinition/VRM-DemographicsCodingHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-DemographicsCodingUpdateHeaderURI-vs,2.0.0,active,,DemographicsCodingUpdateHeaderURIVS,Demographics Coding Update MessageHeader URI Values,"Demographics Coding Update MessageHeader URI Values","StructureDefinition/VRM-DemographicsCodingUpdateHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-ExtractionErrorHeaderURI-vs,2.0.0,active,,ExtractionErrorHeaderURIVS,ExtractionError MessageHeader URI Values,"ExtractionError MessageHeader URI Values","StructureDefinition/VRM-ExtractionErrorHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-IndustryOccupationHeaderURI-vs,2.0.0,active,,IndustryOccupationURIVS,Industry and Occupation MessageHeader URI Values,"Industry and Occupation MessageHeader URI Values","StructureDefinition/VRM-IndustryOccupationCodingHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-IndustryOccupationUpdateHeaderURI-vs,2.0.0,active,,IndustryOccupationUpdateURIVS,Industry and Occupation Update MessageHeader URI Values,"Industry and Occupation Update MessageHeader URI Values","StructureDefinition/VRM-IndustryOccupationCodingUpdateHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-Status-vs,2.0.0,active,,StatusVS,Status Codes Values,"Status Codes Values","StructureDefinition/VRM-StatusParameters","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-StatusHeaderURI-vs,2.0.0,active,,StatusURIVS,Status MessageHeader URI Values,"Status MessageHeader URI Values","StructureDefinition/VRM-StatusHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-SubmissionHeaderURI-vs,2.0.0,active,,SubmissionURIVS,Submission MessageHeader URI Values,"Submission MessageHeader URI Values","StructureDefinition/VRM-SubmissionHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-UpdateHeaderURI-vs,2.0.0,active,,UpdateURIVS,Update MessageHeader URI Values,"Update MessageHeader URI Values","StructureDefinition/VRM-UpdateHeader","Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-VOIDHeaderURI-vs,2.0.0,active,,VoidURIVS,Void MessageHeader URI Values,"Void MessageHeader URI Values","StructureDefinition/VRM-VoidHeader","Internal"
http://hl7.org/fhir/us/vr-common-library/ValueSet/ValueSet-jurisdiction-vr,2.0.0,active,,ValueSetJurisdictionVitalRecords,Value Set - Jurisdictions Vital Records,"This valueset contains the set of codes used to represent 2 Letter Codes for all 57 Jurisdictions Reporting Deaths to NCHS","StructureDefinition/VRM-StatusParameters,StructureDefinition/VRM-VoidParameters,StructureDefinition/VRM-AliasParameters,StructureDefinition/VRM-MessageParameters","hl7.fhir.us.vr-common-library"
